areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
E10000023,North Yorkshire,utla,2022-11-16,19,,336
E10000023,North Yorkshire,utla,2022-11-15,24,,345
E10000023,North Yorkshire,utla,2022-11-14,29,0,392
E10000023,North Yorkshire,utla,2022-11-13,29,0,278
E10000023,North Yorkshire,utla,2022-11-12,19,1,425
E10000023,North Yorkshire,utla,2022-11-11,30,2,254
E10000023,North Yorkshire,utla,2022-11-10,30,1,406
E10000023,North Yorkshire,utla,2022-11-09,32,1,525
E10000023,North Yorkshire,utla,2022-11-08,38,1,618
E10000023,North Yorkshire,utla,2022-11-07,36,0,676
E10000023,North Yorkshire,utla,2022-11-06,39,2,556
E10000023,North Yorkshire,utla,2022-11-05,35,0,512
E10000023,North Yorkshire,utla,2022-11-04,25,0,511
E10000023,North Yorkshire,utla,2022-11-03,33,2,741
E10000023,North Yorkshire,utla,2022-11-02,41,1,679
E10000023,North Yorkshire,utla,2022-11-01,45,2,899
E10000023,North Yorkshire,utla,2022-10-31,55,3,652
E10000023,North Yorkshire,utla,2022-10-30,53,1,540
E10000023,North Yorkshire,utla,2022-10-29,37,2,521
E10000023,North Yorkshire,utla,2022-10-28,48,1,673
E10000023,North Yorkshire,utla,2022-10-27,55,4,926
E10000023,North Yorkshire,utla,2022-10-26,68,3,710
E10000023,North Yorkshire,utla,2022-10-25,66,0,760
E10000023,North Yorkshire,utla,2022-10-24,75,3,799
E10000023,North Yorkshire,utla,2022-10-23,64,1,667
E10000023,North Yorkshire,utla,2022-10-22,49,2,716
E10000023,North Yorkshire,utla,2022-10-21,91,1,736
E10000023,North Yorkshire,utla,2022-10-20,69,1,831
E10000023,North Yorkshire,utla,2022-10-19,97,3,1157
E10000023,North Yorkshire,utla,2022-10-18,111,1,1207
E10000023,North Yorkshire,utla,2022-10-17,126,1,1045
E10000023,North Yorkshire,utla,2022-10-16,77,1,659
E10000023,North Yorkshire,utla,2022-10-15,69,3,838
E10000023,North Yorkshire,utla,2022-10-14,95,2,1076
E10000023,North Yorkshire,utla,2022-10-13,87,3,976
E10000023,North Yorkshire,utla,2022-10-12,125,5,1121
E10000023,North Yorkshire,utla,2022-10-11,97,2,890
E10000023,North Yorkshire,utla,2022-10-10,89,1,995
E10000023,North Yorkshire,utla,2022-10-09,89,3,699
E10000023,North Yorkshire,utla,2022-10-08,74,3,653
E10000023,North Yorkshire,utla,2022-10-07,103,3,874
E10000023,North Yorkshire,utla,2022-10-06,102,3,941
E10000023,North Yorkshire,utla,2022-10-05,134,1,1030
E10000023,North Yorkshire,utla,2022-10-04,142,2,1149
E10000023,North Yorkshire,utla,2022-10-03,132,3,949
E10000023,North Yorkshire,utla,2022-10-02,117,4,706
E10000023,North Yorkshire,utla,2022-10-01,93,3,577
E10000023,North Yorkshire,utla,2022-09-30,92,3,967
