areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
N09000006,Fermanagh and Omagh,utla,2022-05-19,5,0,
N09000006,Fermanagh and Omagh,utla,2022-05-18,12,1,
N09000006,Fermanagh and Omagh,utla,2022-05-17,14,0,
N09000006,Fermanagh and Omagh,utla,2022-05-16,15,0,
N09000006,Fermanagh and Omagh,utla,2022-05-15,10,0,
N09000006,Fermanagh and Omagh,utla,2022-05-14,6,0,
N09000006,Fermanagh and Omagh,utla,2022-05-13,8,0,
N09000006,Fermanagh and Omagh,utla,2022-05-12,11,0,
N09000006,Fermanagh and Omagh,utla,2022-05-11,10,0,
N09000006,Fermanagh and Omagh,utla,2022-05-10,10,1,
N09000006,Fermanagh and Omagh,utla,2022-05-09,17,0,
N09000006,Fermanagh and Omagh,utla,2022-05-08,13,0,
N09000006,Fermanagh and Omagh,utla,2022-05-07,8,0,
N09000006,Fermanagh and Omagh,utla,2022-05-06,9,0,
N09000006,Fermanagh and Omagh,utla,2022-05-05,13,0,
N09000006,Fermanagh and Omagh,utla,2022-05-04,18,0,
N09000006,Fermanagh and Omagh,utla,2022-05-03,18,0,
N09000006,Fermanagh and Omagh,utla,2022-05-02,13,0,
N09000006,Fermanagh and Omagh,utla,2022-05-01,8,0,
N09000006,Fermanagh and Omagh,utla,2022-04-30,3,0,
N09000006,Fermanagh and Omagh,utla,2022-04-29,8,1,
N09000006,Fermanagh and Omagh,utla,2022-04-28,16,0,
N09000006,Fermanagh and Omagh,utla,2022-04-27,8,1,
N09000006,Fermanagh and Omagh,utla,2022-04-26,12,0,
N09000006,Fermanagh and Omagh,utla,2022-04-25,17,0,
N09000006,Fermanagh and Omagh,utla,2022-04-24,19,1,
N09000006,Fermanagh and Omagh,utla,2022-04-23,21,0,
N09000006,Fermanagh and Omagh,utla,2022-04-22,13,0,
N09000006,Fermanagh and Omagh,utla,2022-04-21,25,0,
N09000006,Fermanagh and Omagh,utla,2022-04-20,23,1,
N09000006,Fermanagh and Omagh,utla,2022-04-19,28,0,
N09000006,Fermanagh and Omagh,utla,2022-04-18,29,1,
N09000006,Fermanagh and Omagh,utla,2022-04-17,20,1,
N09000006,Fermanagh and Omagh,utla,2022-04-16,19,0,
N09000006,Fermanagh and Omagh,utla,2022-04-15,21,0,
N09000006,Fermanagh and Omagh,utla,2022-04-14,38,1,
N09000006,Fermanagh and Omagh,utla,2022-04-13,35,0,
N09000006,Fermanagh and Omagh,utla,2022-04-12,44,0,
N09000006,Fermanagh and Omagh,utla,2022-04-11,38,0,
N09000006,Fermanagh and Omagh,utla,2022-04-10,29,1,
N09000006,Fermanagh and Omagh,utla,2022-04-09,26,0,
N09000006,Fermanagh and Omagh,utla,2022-04-08,32,0,
N09000006,Fermanagh and Omagh,utla,2022-04-07,54,1,
