areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
S12000021,North Ayrshire,utla,2022-11-13,4,,
S12000021,North Ayrshire,utla,2022-11-12,4,,
S12000021,North Ayrshire,utla,2022-11-11,11,,
S12000021,North Ayrshire,utla,2022-11-10,9,,
S12000021,North Ayrshire,utla,2022-11-09,14,,
S12000021,North Ayrshire,utla,2022-11-08,13,,
S12000021,North Ayrshire,utla,2022-11-07,8,,
S12000021,North Ayrshire,utla,2022-11-06,7,,
S12000021,North Ayrshire,utla,2022-11-05,14,,
S12000021,North Ayrshire,utla,2022-11-04,8,,
S12000021,North Ayrshire,utla,2022-11-03,8,,
S12000021,North Ayrshire,utla,2022-11-02,11,,
S12000021,North Ayrshire,utla,2022-11-01,9,,
S12000021,North Ayrshire,utla,2022-10-31,12,,
S12000021,North Ayrshire,utla,2022-10-30,6,,
S12000021,North Ayrshire,utla,2022-10-29,9,,
S12000021,North Ayrshire,utla,2022-10-28,7,,
S12000021,North Ayrshire,utla,2022-10-27,5,,
S12000021,North Ayrshire,utla,2022-10-26,6,,
S12000021,North Ayrshire,utla,2022-10-25,13,,
S12000021,North Ayrshire,utla,2022-10-24,16,,
S12000021,North Ayrshire,utla,2022-10-23,4,,
S12000021,North Ayrshire,utla,2022-10-22,10,,
S12000021,North Ayrshire,utla,2022-10-21,12,,
S12000021,North Ayrshire,utla,2022-10-20,3,,
S12000021,North Ayrshire,utla,2022-10-19,6,,
S12000021,North Ayrshire,utla,2022-10-18,6,,
S12000021,North Ayrshire,utla,2022-10-17,10,,
S12000021,North Ayrshire,utla,2022-10-16,11,,
S12000021,North Ayrshire,utla,2022-10-15,5,,
S12000021,North Ayrshire,utla,2022-10-14,11,,
S12000021,North Ayrshire,utla,2022-10-13,8,,
S12000021,North Ayrshire,utla,2022-10-12,20,,
S12000021,North Ayrshire,utla,2022-10-11,8,,
S12000021,North Ayrshire,utla,2022-10-10,12,,
S12000021,North Ayrshire,utla,2022-10-09,7,,
S12000021,North Ayrshire,utla,2022-10-08,4,,
S12000021,North Ayrshire,utla,2022-10-07,7,,
S12000021,North Ayrshire,utla,2022-10-06,9,,
S12000021,North Ayrshire,utla,2022-10-05,10,,
S12000021,North Ayrshire,utla,2022-10-04,13,,
S12000021,North Ayrshire,utla,2022-10-03,13,,
S12000021,North Ayrshire,utla,2022-10-02,12,,
S12000021,North Ayrshire,utla,2022-10-01,11,,
S12000021,North Ayrshire,utla,2022-09-30,4,,
S12000021,North Ayrshire,utla,2022-09-29,6,,
S12000021,North Ayrshire,utla,2022-09-28,14,,
S12000021,North Ayrshire,utla,2022-09-27,12,,
S12000021,North Ayrshire,utla,2022-09-26,10,,
S12000021,North Ayrshire,utla,2022-09-25,5,,
S12000021,North Ayrshire,utla,2022-09-24,9,,
S12000021,North Ayrshire,utla,2022-09-23,14,,
S12000021,North Ayrshire,utla,2022-09-22,8,,
S12000021,North Ayrshire,utla,2022-09-21,19,,
S12000021,North Ayrshire,utla,2022-09-20,13,,
S12000021,North Ayrshire,utla,2022-09-19,5,,
S12000021,North Ayrshire,utla,2022-09-18,8,,
S12000021,North Ayrshire,utla,2022-09-17,4,,
S12000021,North Ayrshire,utla,2022-09-16,7,,
S12000021,North Ayrshire,utla,2022-09-15,6,,
S12000021,North Ayrshire,utla,2022-09-14,13,,
S12000021,North Ayrshire,utla,2022-09-13,13,,
S12000021,North Ayrshire,utla,2022-09-12,21,,
S12000021,North Ayrshire,utla,2022-09-11,11,,
S12000021,North Ayrshire,utla,2022-09-10,7,,
S12000021,North Ayrshire,utla,2022-09-09,13,,
S12000021,North Ayrshire,utla,2022-09-08,10,,
S12000021,North Ayrshire,utla,2022-09-07,7,,
S12000021,North Ayrshire,utla,2022-09-06,10,,
S12000021,North Ayrshire,utla,2022-09-05,22,,
S12000021,North Ayrshire,utla,2022-09-04,20,,
S12000021,North Ayrshire,utla,2022-09-03,8,,
S12000021,North Ayrshire,utla,2022-09-02,21,,
S12000021,North Ayrshire,utla,2022-09-01,14,,
S12000021,North Ayrshire,utla,2022-08-31,16,,
S12000021,North Ayrshire,utla,2022-08-30,20,,
S12000021,North Ayrshire,utla,2022-08-29,18,,
S12000021,North Ayrshire,utla,2022-08-28,11,,
S12000021,North Ayrshire,utla,2022-08-27,13,,
S12000021,North Ayrshire,utla,2022-08-26,13,,
S12000021,North Ayrshire,utla,2022-08-25,11,,
S12000021,North Ayrshire,utla,2022-08-24,10,,
S12000021,North Ayrshire,utla,2022-08-23,16,,
S12000021,North Ayrshire,utla,2022-08-22,8,,
S12000021,North Ayrshire,utla,2022-08-21,18,,
S12000021,North Ayrshire,utla,2022-08-20,9,,
S12000021,North Ayrshire,utla,2022-08-19,14,,
S12000021,North Ayrshire,utla,2022-08-18,13,,
S12000021,North Ayrshire,utla,2022-08-17,6,,
S12000021,North Ayrshire,utla,2022-08-16,15,,
S12000021,North Ayrshire,utla,2022-08-15,26,,
S12000021,North Ayrshire,utla,2022-08-14,11,,
S12000021,North Ayrshire,utla,2022-08-13,10,,
S12000021,North Ayrshire,utla,2022-08-12,9,,
