areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
W06000010,Carmarthenshire,utla,2022-11-17,,,0
W06000010,Carmarthenshire,utla,2022-11-16,0,,0
W06000010,Carmarthenshire,utla,2022-11-15,0,,0
W06000010,Carmarthenshire,utla,2022-11-14,1,,0
W06000010,Carmarthenshire,utla,2022-11-13,1,,0
W06000010,Carmarthenshire,utla,2022-11-12,0,,0
W06000010,Carmarthenshire,utla,2022-11-11,2,,0
W06000010,Carmarthenshire,utla,2022-11-10,2,,0
W06000010,Carmarthenshire,utla,2022-11-09,2,,0
W06000010,Carmarthenshire,utla,2022-11-08,3,,0
W06000010,Carmarthenshire,utla,2022-11-07,4,,0
W06000010,Carmarthenshire,utla,2022-11-06,1,,0
W06000010,Carmarthenshire,utla,2022-11-05,1,,0
W06000010,Carmarthenshire,utla,2022-11-04,2,,0
W06000010,Carmarthenshire,utla,2022-11-03,2,,0
W06000010,Carmarthenshire,utla,2022-11-02,0,,0
W06000010,Carmarthenshire,utla,2022-11-01,2,,0
W06000010,Carmarthenshire,utla,2022-10-31,0,,0
W06000010,Carmarthenshire,utla,2022-10-30,3,,0
W06000010,Carmarthenshire,utla,2022-10-29,3,,0
W06000010,Carmarthenshire,utla,2022-10-28,2,,0
W06000010,Carmarthenshire,utla,2022-10-27,2,,0
W06000010,Carmarthenshire,utla,2022-10-26,4,,0
W06000010,Carmarthenshire,utla,2022-10-25,3,,0
W06000010,Carmarthenshire,utla,2022-10-24,6,,0
W06000010,Carmarthenshire,utla,2022-10-23,3,,0
W06000010,Carmarthenshire,utla,2022-10-22,3,,0
W06000010,Carmarthenshire,utla,2022-10-21,8,,0
W06000010,Carmarthenshire,utla,2022-10-20,4,,0
W06000010,Carmarthenshire,utla,2022-10-19,5,,0
W06000010,Carmarthenshire,utla,2022-10-18,4,,0
W06000010,Carmarthenshire,utla,2022-10-17,5,,0
W06000010,Carmarthenshire,utla,2022-10-16,9,,0
W06000010,Carmarthenshire,utla,2022-10-15,3,,0
W06000010,Carmarthenshire,utla,2022-10-14,3,,0
W06000010,Carmarthenshire,utla,2022-10-13,5,,0
W06000010,Carmarthenshire,utla,2022-10-12,5,,0
