areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
E08000015,Wirral,utla,2022-11-16,7,,212
E08000015,Wirral,utla,2022-11-15,19,,209
E08000015,Wirral,utla,2022-11-14,32,0,159
E08000015,Wirral,utla,2022-11-13,16,0,105
E08000015,Wirral,utla,2022-11-12,13,1,95
E08000015,Wirral,utla,2022-11-11,5,0,181
E08000015,Wirral,utla,2022-11-10,19,0,178
E08000015,Wirral,utla,2022-11-09,18,1,436
E08000015,Wirral,utla,2022-11-08,17,0,261
E08000015,Wirral,utla,2022-11-07,24,1,289
E08000015,Wirral,utla,2022-11-06,17,0,242
E08000015,Wirral,utla,2022-11-05,13,2,263
E08000015,Wirral,utla,2022-11-04,11,1,299
E08000015,Wirral,utla,2022-11-03,21,0,469
E08000015,Wirral,utla,2022-11-02,30,0,412
E08000015,Wirral,utla,2022-11-01,33,1,274
E08000015,Wirral,utla,2022-10-31,39,0,352
E08000015,Wirral,utla,2022-10-30,29,1,313
E08000015,Wirral,utla,2022-10-29,24,1,193
E08000015,Wirral,utla,2022-10-28,19,0,385
E08000015,Wirral,utla,2022-10-27,41,0,349
E08000015,Wirral,utla,2022-10-26,31,2,435
E08000015,Wirral,utla,2022-10-25,38,1,325
E08000015,Wirral,utla,2022-10-24,30,1,277
E08000015,Wirral,utla,2022-10-23,28,4,314
E08000015,Wirral,utla,2022-10-22,27,2,297
E08000015,Wirral,utla,2022-10-21,41,1,438
E08000015,Wirral,utla,2022-10-20,44,3,570
E08000015,Wirral,utla,2022-10-19,41,1,477
E08000015,Wirral,utla,2022-10-18,43,4,494
E08000015,Wirral,utla,2022-10-17,59,1,490
E08000015,Wirral,utla,2022-10-16,53,2,387
E08000015,Wirral,utla,2022-10-15,44,0,494
E08000015,Wirral,utla,2022-10-14,51,2,500
E08000015,Wirral,utla,2022-10-13,44,0,462
E08000015,Wirral,utla,2022-10-12,53,2,610
E08000015,Wirral,utla,2022-10-11,50,1,481
E08000015,Wirral,utla,2022-10-10,58,2,669
E08000015,Wirral,utla,2022-10-09,52,0,402
