areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage,newCasesBySpecimenDate,newAdmissions,covidOccupiedMVBeds,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate,newFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,newCasesBySpecimenDate,true_positive_rate
E92000001,England,nation,14/11/2022,44000727,41990007,59.9,3218,522,130,20,33397,2032,1186,3218,0.09635596
E92000001,England,nation,13/11/2022,44000090,41989328,59.9,2562,445,139,39,23222,1632,930,2562,0.110326415
E92000001,England,nation,12/11/2022,43999700,41988683,59.8,2099,370,139,37,23743,1422,677,2099,0.088405004
E92000001,England,nation,11/11/2022,43998333,41986499,59.8,2477,435,137,75,29759,1667,810,2477,0.083235324
E92000001,England,nation,10/11/2022,43997554,41985522,59.8,2744,550,149,59,36494,1835,909,2744,0.075190442
E92000001,England,nation,09/11/2022,43996812,41984638,59.8,3141,535,150,88,47719,2069,1072,3141,0.065822838
E92000001,England,nation,08/11/2022,43995992,41983780,59.8,3358,550,150,84,54878,2167,1191,3358,0.061190277
E92000001,England,nation,07/11/2022,43995292,41982994,59.8,3865,598,154,109,57352,2485,1380,3865,0.067390849
E92000001,England,nation,06/11/2022,43994550,41982284,59.8,2904,500,152,87,37728,1855,1049,2904,0.07697201
E92000001,England,nation,05/11/2022,43994039,41981548,59.8,2331,396,151,100,37902,1557,774,2331,0.061500712
E92000001,England,nation,04/11/2022,43992493,41979168,59.8,2753,410,161,97,51230,1923,830,2753,0.053738044
E92000001,England,nation,03/11/2022,43991626,41978138,59.8,3251,568,166,114,57675,2192,1059,3251,0.056367577
E92000001,England,nation,02/11/2022,43990722,41977084,59.8,3585,571,175,95,57629,2404,1181,3585,0.062208263
E92000001,England,nation,01/11/2022,43989861,41976116,59.8,4063,689,182,117,63798,2692,1371,4063,0.063685382
E92000001,England,nation,31/10/2022,43989027,41975185,59.8,4621,630,181,114,63785,3097,1524,4621,0.0724465
E92000001,England,nation,30/10/2022,43988358,41974448,59.8,3820,640,205,133,44040,2562,1258,3820,0.086739328
E92000001,England,nation,29/10/2022,43987841,41973477,59.8,3222,518,214,130,45358,2261,961,3222,0.071034878
E92000001,England,nation,28/10/2022,43986325,41970999,59.7,3911,558,217,125,57030,2830,1081,3911,0.068577941
E92000001,England,nation,27/10/2022,43985123,41969244,59.7,4369,773,220,128,62554,3127,1242,4369,0.069843655
E92000001,England,nation,26/10/2022,43983942,41967421,59.7,4903,857,222,134,68084,3444,1459,4903,0.072013983
