areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
E08000027,Dudley,utla,2022-11-16,3,,250
E08000027,Dudley,utla,2022-11-15,28,,171
E08000027,Dudley,utla,2022-11-14,21,0,250
E08000027,Dudley,utla,2022-11-13,14,0,145
E08000027,Dudley,utla,2022-11-12,8,1,175
E08000027,Dudley,utla,2022-11-11,12,0,193
E08000027,Dudley,utla,2022-11-10,9,0,205
E08000027,Dudley,utla,2022-11-09,10,0,305
E08000027,Dudley,utla,2022-11-08,33,0,304
E08000027,Dudley,utla,2022-11-07,19,3,341
E08000027,Dudley,utla,2022-11-06,21,0,192
E08000027,Dudley,utla,2022-11-05,15,1,185
E08000027,Dudley,utla,2022-11-04,23,0,212
E08000027,Dudley,utla,2022-11-03,19,1,348
E08000027,Dudley,utla,2022-11-02,18,0,320
E08000027,Dudley,utla,2022-11-01,18,0,319
E08000027,Dudley,utla,2022-10-31,31,1,336
E08000027,Dudley,utla,2022-10-30,24,2,212
E08000027,Dudley,utla,2022-10-29,13,0,259
E08000027,Dudley,utla,2022-10-28,24,2,244
E08000027,Dudley,utla,2022-10-27,21,1,311
E08000027,Dudley,utla,2022-10-26,21,0,395
E08000027,Dudley,utla,2022-10-25,25,0,450
E08000027,Dudley,utla,2022-10-24,29,0,469
E08000027,Dudley,utla,2022-10-23,24,0,252
E08000027,Dudley,utla,2022-10-22,21,0,357
E08000027,Dudley,utla,2022-10-21,31,0,376
E08000027,Dudley,utla,2022-10-20,28,0,505
E08000027,Dudley,utla,2022-10-19,47,0,455
E08000027,Dudley,utla,2022-10-18,31,0,404
E08000027,Dudley,utla,2022-10-17,35,0,477
E08000027,Dudley,utla,2022-10-16,32,0,299
E08000027,Dudley,utla,2022-10-15,27,0,290
E08000027,Dudley,utla,2022-10-14,31,3,343
E08000027,Dudley,utla,2022-10-13,38,0,537
E08000027,Dudley,utla,2022-10-12,49,3,637
E08000027,Dudley,utla,2022-10-11,60,2,586
E08000027,Dudley,utla,2022-10-10,58,0,583
E08000027,Dudley,utla,2022-10-09,50,1,389
E08000027,Dudley,utla,2022-10-08,28,0,439
E08000027,Dudley,utla,2022-10-07,46,1,485
E08000027,Dudley,utla,2022-10-06,43,1,544
E08000027,Dudley,utla,2022-10-05,55,0,513
E08000027,Dudley,utla,2022-10-04,57,0,530
E08000027,Dudley,utla,2022-10-03,67,0,539
E08000027,Dudley,utla,2022-10-02,41,1,431
E08000027,Dudley,utla,2022-10-01,41,0,338
E08000027,Dudley,utla,2022-09-30,48,0,424
E08000027,Dudley,utla,2022-09-29,57,0,480
E08000027,Dudley,utla,2022-09-28,49,1,433
E08000027,Dudley,utla,2022-09-27,35,0,446
E08000027,Dudley,utla,2022-09-26,49,0,446
E08000027,Dudley,utla,2022-09-25,42,0,314
E08000027,Dudley,utla,2022-09-24,22,0,182
E08000027,Dudley,utla,2022-09-23,27,2,339
E08000027,Dudley,utla,2022-09-22,35,0,489
E08000027,Dudley,utla,2022-09-21,35,0,437
E08000027,Dudley,utla,2022-09-20,49,0,461
E08000027,Dudley,utla,2022-09-19,35,0,334
E08000027,Dudley,utla,2022-09-18,24,1,209
E08000027,Dudley,utla,2022-09-17,20,0,216
E08000027,Dudley,utla,2022-09-16,25,0,446
E08000027,Dudley,utla,2022-09-15,16,0,424
E08000027,Dudley,utla,2022-09-14,17,0,357
E08000027,Dudley,utla,2022-09-13,24,2,418
E08000027,Dudley,utla,2022-09-12,30,1,510
E08000027,Dudley,utla,2022-09-11,12,2,319
E08000027,Dudley,utla,2022-09-10,21,0,314
E08000027,Dudley,utla,2022-09-09,19,2,403
E08000027,Dudley,utla,2022-09-08,22,0,469
E08000027,Dudley,utla,2022-09-07,31,0,435
E08000027,Dudley,utla,2022-09-06,24,0,480
E08000027,Dudley,utla,2022-09-05,20,0,612
E08000027,Dudley,utla,2022-09-04,32,0,487
E08000027,Dudley,utla,2022-09-03,18,0,403
E08000027,Dudley,utla,2022-09-02,16,1,589
E08000027,Dudley,utla,2022-09-01,22,0,687
E08000027,Dudley,utla,2022-08-31,17,1,797
E08000027,Dudley,utla,2022-08-30,15,0,1014
E08000027,Dudley,utla,2022-08-29,19,0,941
E08000027,Dudley,utla,2022-08-28,15,0,605
E08000027,Dudley,utla,2022-08-27,11,0,526
E08000027,Dudley,utla,2022-08-26,13,1,839
E08000027,Dudley,utla,2022-08-25,14,0,1043
E08000027,Dudley,utla,2022-08-24,21,1,888
E08000027,Dudley,utla,2022-08-23,21,1,1004
E08000027,Dudley,utla,2022-08-22,16,0,1405
E08000027,Dudley,utla,2022-08-21,18,0,729
E08000027,Dudley,utla,2022-08-20,18,1,816
E08000027,Dudley,utla,2022-08-19,24,1,1076
E08000027,Dudley,utla,2022-08-18,29,2,1207
E08000027,Dudley,utla,2022-08-17,29,1,1060
E08000027,Dudley,utla,2022-08-16,30,2,1065
E08000027,Dudley,utla,2022-08-15,31,1,1468
E08000027,Dudley,utla,2022-08-14,23,2,816
E08000027,Dudley,utla,2022-08-13,31,0,852
E08000027,Dudley,utla,2022-08-12,33,3,1099
E08000027,Dudley,utla,2022-08-11,24,0,1200
E08000027,Dudley,utla,2022-08-10,42,0,1028
E08000027,Dudley,utla,2022-08-09,37,4,1204
E08000027,Dudley,utla,2022-08-08,45,2,1543
E08000027,Dudley,utla,2022-08-07,34,2,810
E08000027,Dudley,utla,2022-08-06,37,0,833
E08000027,Dudley,utla,2022-08-05,32,2,1126
E08000027,Dudley,utla,2022-08-04,29,0,1107
E08000027,Dudley,utla,2022-08-03,35,3,1192
E08000027,Dudley,utla,2022-08-02,51,0,1541
E08000027,Dudley,utla,2022-08-01,60,0,1527
E08000027,Dudley,utla,2022-07-31,34,1,868
E08000027,Dudley,utla,2022-07-30,38,1,877
E08000027,Dudley,utla,2022-07-29,47,2,1314
E08000027,Dudley,utla,2022-07-28,44,0,1485
E08000027,Dudley,utla,2022-07-27,52,0,1229
E08000027,Dudley,utla,2022-07-26,57,2,1379
E08000027,Dudley,utla,2022-07-25,66,2,1688
E08000027,Dudley,utla,2022-07-24,71,1,1011
E08000027,Dudley,utla,2022-07-23,53,2,1089
E08000027,Dudley,utla,2022-07-22,78,0,1415
E08000027,Dudley,utla,2022-07-21,64,2,1514
E08000027,Dudley,utla,2022-07-20,81,2,1312
E08000027,Dudley,utla,2022-07-19,74,4,1324
