areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
N09000001,Antrim and Newtownabbey,utla,2022-05-19,13,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-18,29,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-17,27,1,
N09000001,Antrim and Newtownabbey,utla,2022-05-16,31,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-15,23,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-14,13,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-13,23,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-12,22,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-11,32,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-10,41,1,
N09000001,Antrim and Newtownabbey,utla,2022-05-09,31,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-08,34,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-07,28,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-06,22,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-05,30,1,
N09000001,Antrim and Newtownabbey,utla,2022-05-04,38,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-03,23,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-02,32,0,
N09000001,Antrim and Newtownabbey,utla,2022-05-01,24,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-30,30,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-29,28,1,
N09000001,Antrim and Newtownabbey,utla,2022-04-28,32,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-27,30,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-26,44,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-25,33,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-24,45,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-23,34,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-22,38,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-21,58,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-20,54,1,
N09000001,Antrim and Newtownabbey,utla,2022-04-19,61,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-18,60,1,
N09000001,Antrim and Newtownabbey,utla,2022-04-17,36,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-16,38,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-15,54,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-14,66,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-13,66,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-12,72,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-11,67,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-10,59,2,
N09000001,Antrim and Newtownabbey,utla,2022-04-09,54,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-08,45,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-07,81,1,
N09000001,Antrim and Newtownabbey,utla,2022-04-06,93,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-05,111,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-04,119,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-03,95,0,
N09000001,Antrim and Newtownabbey,utla,2022-04-02,62,1,
N09000001,Antrim and Newtownabbey,utla,2022-04-01,111,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-31,104,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-30,111,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-29,138,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-28,155,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-27,130,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-26,97,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-25,149,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-24,172,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-23,190,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-22,220,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-21,226,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-20,214,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-19,150,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-18,148,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-17,157,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-16,191,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-15,208,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-14,271,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-13,185,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-12,171,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-11,185,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-10,199,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-09,245,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-08,224,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-07,239,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-06,217,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-05,169,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-04,181,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-03,188,0,
N09000001,Antrim and Newtownabbey,utla,2022-03-02,256,1,
N09000001,Antrim and Newtownabbey,utla,2022-03-01,254,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-28,232,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-27,193,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-26,169,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-25,155,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-24,162,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-23,216,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-22,237,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-21,269,1,
N09000001,Antrim and Newtownabbey,utla,2022-02-20,231,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-19,153,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-18,173,1,
N09000001,Antrim and Newtownabbey,utla,2022-02-17,204,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-16,237,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-15,265,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-14,261,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-13,212,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-12,208,1,
N09000001,Antrim and Newtownabbey,utla,2022-02-11,201,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-10,236,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-09,246,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-08,315,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-07,331,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-06,250,1,
N09000001,Antrim and Newtownabbey,utla,2022-02-05,203,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-04,248,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-03,299,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-02,376,0,
N09000001,Antrim and Newtownabbey,utla,2022-02-01,371,1,
N09000001,Antrim and Newtownabbey,utla,2022-01-31,415,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-30,367,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-29,296,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-28,297,1,
N09000001,Antrim and Newtownabbey,utla,2022-01-27,314,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-26,384,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-25,444,1,
N09000001,Antrim and Newtownabbey,utla,2022-01-24,429,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-23,385,1,
N09000001,Antrim and Newtownabbey,utla,2022-01-22,292,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-21,301,1,
N09000001,Antrim and Newtownabbey,utla,2022-01-20,310,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-19,317,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-18,360,2,
N09000001,Antrim and Newtownabbey,utla,2022-01-17,375,0,
N09000001,Antrim and Newtownabbey,utla,2022-01-16,304,0,
