areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
S12000042,Dundee City,utla,2022-11-13,9,,
S12000042,Dundee City,utla,2022-11-12,7,,
S12000042,Dundee City,utla,2022-11-11,12,,
S12000042,Dundee City,utla,2022-11-10,7,,
S12000042,Dundee City,utla,2022-11-09,13,,
S12000042,Dundee City,utla,2022-11-08,17,,
S12000042,Dundee City,utla,2022-11-07,5,,
S12000042,Dundee City,utla,2022-11-06,7,,
S12000042,Dundee City,utla,2022-11-05,7,,
S12000042,Dundee City,utla,2022-11-04,9,,
S12000042,Dundee City,utla,2022-11-03,8,,
S12000042,Dundee City,utla,2022-11-02,12,,
S12000042,Dundee City,utla,2022-11-01,19,,
S12000042,Dundee City,utla,2022-10-31,17,,
S12000042,Dundee City,utla,2022-10-30,12,,
S12000042,Dundee City,utla,2022-10-29,12,,
S12000042,Dundee City,utla,2022-10-28,18,,
S12000042,Dundee City,utla,2022-10-27,15,,
S12000042,Dundee City,utla,2022-10-26,19,,
S12000042,Dundee City,utla,2022-10-25,17,,
S12000042,Dundee City,utla,2022-10-24,19,,
S12000042,Dundee City,utla,2022-10-23,17,,
S12000042,Dundee City,utla,2022-10-22,11,,
S12000042,Dundee City,utla,2022-10-21,16,,
S12000042,Dundee City,utla,2022-10-20,15,,
S12000042,Dundee City,utla,2022-10-19,14,,
S12000042,Dundee City,utla,2022-10-18,7,,
S12000042,Dundee City,utla,2022-10-17,12,,
S12000042,Dundee City,utla,2022-10-16,15,,
S12000042,Dundee City,utla,2022-10-15,8,,
S12000042,Dundee City,utla,2022-10-14,19,,
S12000042,Dundee City,utla,2022-10-13,10,,
S12000042,Dundee City,utla,2022-10-12,15,,
S12000042,Dundee City,utla,2022-10-11,13,,
S12000042,Dundee City,utla,2022-10-10,10,,
S12000042,Dundee City,utla,2022-10-09,19,,
S12000042,Dundee City,utla,2022-10-08,8,,
S12000042,Dundee City,utla,2022-10-07,11,,
S12000042,Dundee City,utla,2022-10-06,10,,
S12000042,Dundee City,utla,2022-10-05,11,,
S12000042,Dundee City,utla,2022-10-04,10,,
S12000042,Dundee City,utla,2022-10-03,5,,
S12000042,Dundee City,utla,2022-10-02,8,,
S12000042,Dundee City,utla,2022-10-01,6,,
S12000042,Dundee City,utla,2022-09-30,12,,
S12000042,Dundee City,utla,2022-09-29,10,,
S12000042,Dundee City,utla,2022-09-28,10,,
S12000042,Dundee City,utla,2022-09-27,10,,
S12000042,Dundee City,utla,2022-09-26,12,,
S12000042,Dundee City,utla,2022-09-25,7,,
S12000042,Dundee City,utla,2022-09-24,11,,
S12000042,Dundee City,utla,2022-09-23,7,,
S12000042,Dundee City,utla,2022-09-22,7,,
S12000042,Dundee City,utla,2022-09-21,7,,
S12000042,Dundee City,utla,2022-09-20,5,,
S12000042,Dundee City,utla,2022-09-19,8,,
S12000042,Dundee City,utla,2022-09-18,3,,
S12000042,Dundee City,utla,2022-09-17,2,,
S12000042,Dundee City,utla,2022-09-16,8,,
S12000042,Dundee City,utla,2022-09-15,6,,
S12000042,Dundee City,utla,2022-09-14,6,,
S12000042,Dundee City,utla,2022-09-13,10,,
S12000042,Dundee City,utla,2022-09-12,10,,
S12000042,Dundee City,utla,2022-09-11,10,,
S12000042,Dundee City,utla,2022-09-10,12,,
S12000042,Dundee City,utla,2022-09-09,4,,
S12000042,Dundee City,utla,2022-09-08,10,,
S12000042,Dundee City,utla,2022-09-07,12,,
S12000042,Dundee City,utla,2022-09-06,16,,
S12000042,Dundee City,utla,2022-09-05,16,,
S12000042,Dundee City,utla,2022-09-04,11,,
S12000042,Dundee City,utla,2022-09-03,6,,
S12000042,Dundee City,utla,2022-09-02,12,,
S12000042,Dundee City,utla,2022-09-01,17,,
S12000042,Dundee City,utla,2022-08-31,12,,
S12000042,Dundee City,utla,2022-08-30,12,,
S12000042,Dundee City,utla,2022-08-29,16,,
S12000042,Dundee City,utla,2022-08-28,15,,
S12000042,Dundee City,utla,2022-08-27,19,,
S12000042,Dundee City,utla,2022-08-26,10,,
S12000042,Dundee City,utla,2022-08-25,21,,
S12000042,Dundee City,utla,2022-08-24,13,,
S12000042,Dundee City,utla,2022-08-23,11,,
S12000042,Dundee City,utla,2022-08-22,9,,
S12000042,Dundee City,utla,2022-08-21,14,,
S12000042,Dundee City,utla,2022-08-20,6,,
S12000042,Dundee City,utla,2022-08-19,10,,
S12000042,Dundee City,utla,2022-08-18,18,,
S12000042,Dundee City,utla,2022-08-17,9,,
S12000042,Dundee City,utla,2022-08-16,21,,
S12000042,Dundee City,utla,2022-08-15,22,,
S12000042,Dundee City,utla,2022-08-14,19,,
S12000042,Dundee City,utla,2022-08-13,21,,
S12000042,Dundee City,utla,2022-08-12,15,,
S12000042,Dundee City,utla,2022-08-11,23,,
S12000042,Dundee City,utla,2022-08-10,20,,
S12000042,Dundee City,utla,2022-08-09,25,,
S12000042,Dundee City,utla,2022-08-08,23,,
S12000042,Dundee City,utla,2022-08-07,16,,
S12000042,Dundee City,utla,2022-08-06,18,,
S12000042,Dundee City,utla,2022-08-05,15,,
S12000042,Dundee City,utla,2022-08-04,23,,
S12000042,Dundee City,utla,2022-08-03,38,,
S12000042,Dundee City,utla,2022-08-02,23,,
S12000042,Dundee City,utla,2022-08-01,32,,
S12000042,Dundee City,utla,2022-07-31,28,,
S12000042,Dundee City,utla,2022-07-30,14,,
S12000042,Dundee City,utla,2022-07-29,28,,
S12000042,Dundee City,utla,2022-07-28,30,,
S12000042,Dundee City,utla,2022-07-27,31,,
S12000042,Dundee City,utla,2022-07-26,39,,
S12000042,Dundee City,utla,2022-07-25,37,,
S12000042,Dundee City,utla,2022-07-24,26,,
S12000042,Dundee City,utla,2022-07-23,30,,
S12000042,Dundee City,utla,2022-07-22,32,,
S12000042,Dundee City,utla,2022-07-21,42,,
S12000042,Dundee City,utla,2022-07-20,30,,
S12000042,Dundee City,utla,2022-07-19,55,,
S12000042,Dundee City,utla,2022-07-18,46,,
S12000042,Dundee City,utla,2022-07-17,24,,
S12000042,Dundee City,utla,2022-07-16,35,,
S12000042,Dundee City,utla,2022-07-15,33,,
S12000042,Dundee City,utla,2022-07-14,32,,
S12000042,Dundee City,utla,2022-07-13,36,,
S12000042,Dundee City,utla,2022-07-12,58,,
S12000042,Dundee City,utla,2022-07-11,31,,
S12000042,Dundee City,utla,2022-07-10,39,,
S12000042,Dundee City,utla,2022-07-09,26,,
S12000042,Dundee City,utla,2022-07-08,58,,
S12000042,Dundee City,utla,2022-07-07,58,,
S12000042,Dundee City,utla,2022-07-06,60,,
S12000042,Dundee City,utla,2022-07-05,65,,
S12000042,Dundee City,utla,2022-07-04,60,,
S12000042,Dundee City,utla,2022-07-03,59,,
S12000042,Dundee City,utla,2022-07-02,63,,
S12000042,Dundee City,utla,2022-07-01,60,,
S12000042,Dundee City,utla,2022-06-30,55,,
S12000042,Dundee City,utla,2022-06-29,58,,
S12000042,Dundee City,utla,2022-06-28,62,,
S12000042,Dundee City,utla,2022-06-27,60,,
S12000042,Dundee City,utla,2022-06-26,64,,
S12000042,Dundee City,utla,2022-06-25,50,,
S12000042,Dundee City,utla,2022-06-24,67,,
S12000042,Dundee City,utla,2022-06-23,63,,
S12000042,Dundee City,utla,2022-06-22,77,,
S12000042,Dundee City,utla,2022-06-21,65,,
S12000042,Dundee City,utla,2022-06-20,69,,
S12000042,Dundee City,utla,2022-06-19,59,,
S12000042,Dundee City,utla,2022-06-18,43,,
S12000042,Dundee City,utla,2022-06-17,56,,
S12000042,Dundee City,utla,2022-06-16,51,,
S12000042,Dundee City,utla,2022-06-15,56,,
S12000042,Dundee City,utla,2022-06-14,61,,
S12000042,Dundee City,utla,2022-06-13,54,,
S12000042,Dundee City,utla,2022-06-12,37,,
S12000042,Dundee City,utla,2022-06-11,28,,
S12000042,Dundee City,utla,2022-06-10,34,,
S12000042,Dundee City,utla,2022-06-09,35,,
S12000042,Dundee City,utla,2022-06-08,42,,
S12000042,Dundee City,utla,2022-06-07,46,,
S12000042,Dundee City,utla,2022-06-06,45,,
S12000042,Dundee City,utla,2022-06-05,26,,
S12000042,Dundee City,utla,2022-06-04,22,,
S12000042,Dundee City,utla,2022-06-03,27,,
S12000042,Dundee City,utla,2022-06-02,29,,
S12000042,Dundee City,utla,2022-06-01,29,0,
S12000042,Dundee City,utla,2022-05-31,27,0,
S12000042,Dundee City,utla,2022-05-30,21,0,
S12000042,Dundee City,utla,2022-05-29,15,0,
S12000042,Dundee City,utla,2022-05-28,17,0,
S12000042,Dundee City,utla,2022-05-27,14,0,
S12000042,Dundee City,utla,2022-05-26,21,0,
S12000042,Dundee City,utla,2022-05-25,18,0,
S12000042,Dundee City,utla,2022-05-24,25,0,
S12000042,Dundee City,utla,2022-05-23,20,0,
S12000042,Dundee City,utla,2022-05-22,25,0,
S12000042,Dundee City,utla,2022-05-21,13,0,
S12000042,Dundee City,utla,2022-05-20,20,0,
S12000042,Dundee City,utla,2022-05-19,14,0,
S12000042,Dundee City,utla,2022-05-18,17,0,
S12000042,Dundee City,utla,2022-05-17,19,0,
S12000042,Dundee City,utla,2022-05-16,24,3,
S12000042,Dundee City,utla,2022-05-15,18,0,
S12000042,Dundee City,utla,2022-05-14,10,1,
S12000042,Dundee City,utla,2022-05-13,19,0,
S12000042,Dundee City,utla,2022-05-12,25,0,
S12000042,Dundee City,utla,2022-05-11,22,0,
S12000042,Dundee City,utla,2022-05-10,16,0,
S12000042,Dundee City,utla,2022-05-09,18,0,
S12000042,Dundee City,utla,2022-05-08,17,0,
