areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
W06000016,Rhondda Cynon Taf,utla,2022-11-17,,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-16,0,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-15,6,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-14,3,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-13,1,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-12,5,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-11,2,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-10,3,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-09,4,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-08,5,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-07,5,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-06,2,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-05,5,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-04,3,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-03,4,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-02,2,,0
W06000016,Rhondda Cynon Taf,utla,2022-11-01,8,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-31,9,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-30,1,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-29,5,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-28,4,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-27,9,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-26,7,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-25,4,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-24,8,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-23,6,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-22,2,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-21,5,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-20,8,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-19,10,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-18,6,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-17,9,,0
W06000016,Rhondda Cynon Taf,utla,2022-10-16,10,,0
